c2,c0,729,129,229,ff9a,type
483278,79524925,50644625,32573071,10032918,108402,ransom
215206,33310477,21214096,13642803,4209559,108351,ransom
795418,4188689,2015760,1290716,683101,13046,ransom
23679,1283251,651780,421118,135446,28259,ransom
46350,7681629,4891134,3146014,968375,19198,ransom
59055,7161176,4393373,2827923,875859,128838,ransom
182007,27677108,17443601,11221730,3458429,9547,ransom
277520,45945280,29264338,18822233,5795313,13480,ransom
18763,431715,107639,71232,27452,20175,ransom
46679,7739815,4930959,3171392,976215,53224,ransom
198186,30381831,19167571,12330698,3799601,97982,ransom
2473053,16200417,8829016,5706568,2655178,21702,ransom
157338,6988952,4193221,2709004,853195,22170,ransom
60359,4038331,2411403,1547992,498668,13649,ransom
27410,1121292,547434,352778,117901,72885,ransom
256019,41317605,26292021,16909210,5209332,10519,ransom
43989,4655695,2799036,1802208,560377,20737,ransom
100919,3391897,1945191,1255339,406054,17862,ransom
43312,4526130,2710568,1745480,542245,12091,ransom
38353,3692047,2187496,1409005,439312,63336,ransom
201600,32118159,20447565,13150037,4054077,8954,ransom
23139,451726,122682,82308,30772,65964,ransom
211295,35218699,22399731,14407911,4433168,5661,ransom
34327,3048588,1770746,1141090,356391,84783,ransom
192912,31521846,20069164,12908542,3974260,114351,ransom
393803,65582680,41737233,26845744,8264000,55239,ransom
41448,6864166,4367408,2809242,864475,13408,ransom
27589,1608519,861486,556028,177964,100741,ransom
194108,27765960,17511649,11263948,3478369,8868,ransom
168692,28085236,17882559,11501571,3540549,105461,ransom
159393,23919941,15054030,9684825,2985560,5108,ransom
222269,36995561,23543648,15143345,4660591,7461,ransom
65377,7829759,4820540,3102854,961618,21754,ransom
35263,3095620,1809004,1165542,364979,21918,ransom
50735,5254271,3175784,2044305,635593,149522,ransom
156819,25832670,16440482,10574605,3254720,9558,ransom
350303,57157299,36400864,23413047,7210479,16437,ransom
34815,2827751,1640633,1056909,332657,75984,ransom
244202,39289937,25003601,16081748,4952451,46870,ransom
119859,19933349,12685787,8159580,2510804,154945,ransom
180890,25725320,16207100,10424664,3220127,6971,ransom
282378,46920307,29879081,19217917,5916595,18752,ransom
92911,14738941,9388818,6038280,1862318,17609,ransom
60551,7423586,4558050,2933840,908314,17313,ransom
52174,6006549,3655641,2353348,729652,131960,ransom
70568,9102767,5626705,3621091,1120064,18871,ransom
320127,53365986,33973515,21851117,6725426,14477,ransom
158960,26166100,16673232,10723839,3303390,36108,ransom
136221,20017753,12574991,8090180,2495290,7309,ransom
18677,431237,106817,70720,27179,64363,ransom
213787,35637680,22677188,14585996,4488078,16569,ransom
374479,5847170,3181524,2066739,682279,105706,ransom
652176,47954649,30094030,19393381,6015663,10994,ransom
31508,5191163,3305375,2125974,654446,11219,ransom
30692,2419067,1376379,887266,278833,11657,ransom
34950,3148823,1841340,1186390,370838,19799,ransom
113754,8783589,5369422,3450148,1089125,25910,ransom
66469,7905074,4867778,3132626,971306,114162,ransom
163963,24650203,15519235,9983949,3077786,4348,ransom
259942,43312426,27571276,17733790,5458098,12556,ransom
25078,464964,128539,83657,35454,133574,ransom
244568,38248955,24341414,15654670,4827284,57348,ransom
408276,41925023,26743944,17184998,5390914,18582,ransom
42579,4431373,2655903,1710238,532021,83075,ransom
268818,44796780,28503097,18333375,5641368,12840,ransom
21799,444249,115044,75558,30372,132905,ransom
184942,30815889,19610942,12613729,3881713,15281,ransom
301462,49398571,31459718,20234177,6231889,12552,ransom
37902,3617871,2140410,1378635,430184,35104,ransom
77086,10102569,6262927,4030177,1246005,12405,ransom
67957,11131825,7086091,4557703,1403391,109965,ransom
2351265,12707055,6657072,4316343,2163260,14832,ransom
49445,5371949,3253103,2094271,650656,130881,ransom
158930,20036866,12591320,8093328,2517465,104691,ransom
1423967,59333767,36551726,23378037,7647630,135263,ransom
1502110,10039054,4826654,2960885,1496810,25286,ransom
572947,5706874,2746643,1802324,646473,115438,ransom
375639,37183638,23529892,15095374,4750788,100110,ransom
749922,38520994,24125966,15534980,4917740,44447,ransom
594079,9573927,5854951,3803125,1352482,265933,ransom
1650640,57287318,34839822,22576910,7188848,59250,ransom
18746,431657,107837,71298,27582,82993,ransom
280906,44949704,28624842,18409764,5674517,18424,ransom
194800,32452292,20664406,13291350,4091331,104932,ransom
97253,13540103,8454137,5439442,1679881,7070,ransom
291658,48626227,30952759,19908562,6127197,11913,ransom
69320,8718774,5386358,3466304,1073109,21417,ransom
37876,3342178,1966950,1266873,397229,47728,ransom
133197,21440108,13645556,8776441,2702805,16115,ransom
47112,5162473,3120222,2008945,623806,21140,ransom
70570,8575083,5291118,3404907,1054961,17201,ransom
57315,6850897,4195197,2700277,836735,14096,ransom
40368,4065993,2424028,1561125,486120,18122,ransom
51935,5996917,3649983,2349676,728467,60675,ransom
226812,37794723,24048417,15468050,4760037,6591,ransom
59098,7192003,4410187,2838561,879157,63249,ransom
166885,27776987,17677259,11369884,3498976,58170,ransom
118690,16593704,10394715,6687834,2065374,9474,ransom
79016,12972022,8254967,5309612,1634494,16256,ransom
51861,5950267,3620718,2330923,722758,16611,ransom
49823,3579685,2113705,1360397,430718,91465,ransom
222637,22336007,13986573,8998738,2791586,12060,ransom
183520,29991224,19086478,12276190,3779072,17912,ransom
367104,4517860,2333996,1521883,514152,10297,ransom
27800,1949363,1076167,694213,219267,52930,ransom
140620,20787271,13062243,8403678,2591432,94361,ransom
252982,42130608,26816095,17247977,5308007,109110,ransom
251762,41666230,26526752,17061675,5252168,7999,ransom
26614,1731730,936860,604728,191594,18748,ransom
64786,8106944,4992166,3213011,994196,7049,ransom
55284,6565849,4014656,2584108,800879,108303,ransom
341070,56647504,36059555,23193165,7138153,170283,ransom
702111,56248056,35386139,22796422,7064191,7964,ransom
19439,433917,109715,72529,28285,117701,ransom
263390,43639803,27779651,17867354,5499528,11934,ransom
115984,18786677,11961188,7692940,2369502,69504,ransom
181130,20010143,12516028,8046651,2503748,13976,ransom
115713,18792569,11956759,7690317,2367875,19411,ransom
63178,7822307,4813615,3098180,958823,8084,ransom
21731,936847,429875,278531,91044,26233,ransom
82591,8665956,5353285,3443730,1074135,58687,ransom
101108,11615802,7231229,4651524,1447112,82935,ransom
437112,34070583,21668988,13921420,4404173,58437,ransom
61449,7583232,4662455,3000738,929233,76068,ransom
350325,57949341,36887980,23726008,7302963,11777,ransom
43750,7266666,4633371,2980180,918008,103809,ransom
314276,49724268,31481643,20250833,6237478,14811,ransom
77608,12618666,8040024,5171101,1593149,10617,ransom
73599,1930160,1024170,661807,219374,14736,ransom
45487,4890807,2947640,1897910,589631,13320,ransom
44610,4629654,2783637,1792386,557713,94722,ransom
2366029,17137590,9460740,6122836,2707601,12912,ransom
20160,705731,282007,183502,61684,24436,ransom
91195,8667261,5360935,3445100,1084279,17990,ransom
56569,5710979,3470335,2232534,697676,131424,ransom
93474,9385208,5813870,3736482,1173292,27388,ransom
329631,54758511,34856592,22419595,6900561,14530,ransom
127056,20866340,13296976,8552224,2634242,18987,ransom
66099,8307856,5122060,3296461,1020182,120732,ransom
114150,16357839,10245459,6591732,2033997,12795,ransom
343161,55631301,35420311,22780484,7018115,13607,ransom
96136,740403,229818,150975,68740,78678,ransom
265164,43494232,27683562,17805471,5483028,6803,ransom
19263,543275,177892,116518,41138,82181,ransom
289246,48209792,30688187,19738060,6075015,7670,ransom
26397,1734440,937366,604919,191606,19227,ransom
42146,6965673,4434942,2852594,878101,128602,ransom
170667,25504862,16067789,10336680,3187095,3560,ransom
304377,50701514,32277747,20761211,6390850,10640,ransom
53983,6322690,3857612,2483185,769657,19225,ransom
25003,1484716,778157,502758,159940,64009,ransom
229830,37456967,23835846,15330700,4720439,6351,ransom
20661,782906,331483,215284,71559,24949,ransom
81597,7189896,4387077,2822082,882458,44314,ransom
147479,24376108,15513747,9978362,3071258,98779,ransom
66208,8192443,5050131,3250162,1006376,25365,ransom
318630,53101269,33790779,21734264,6688719,11256,ransom
67133,10872443,6927680,4455805,1373309,49675,ransom
183137,27836106,17542427,11285516,3478350,7541,ransom
49671,5584718,3387827,2181079,676736,18300,ransom
61280,6501821,3972041,2555663,796262,41013,ransom
92925,15430274,9818601,6315456,1943502,22258,ransom
65299,8221166,5064289,3259455,1008402,16436,ransom
51402,5891133,3583181,2306763,715380,13517,ransom
42668,4417277,2647935,1705157,530390,35309,ransom
116482,16235792,10166027,6540242,2019831,5684,ransom
24683,1403110,727139,469720,150094,32730,ransom
77221,12553277,7993346,5141235,1583371,52368,ransom
160846,24119685,15182501,9767409,3011141,8875,ransom
18662,431187,106705,70664,27120,49636,ransom
166423,27708509,17641774,11346432,3492797,19262,ransom
69184,5775550,3519132,2261388,715994,77714,ransom
580828,34626251,21615645,13938799,4341827,11481,ransom
27797,1942032,1071720,691427,218399,14483,ransom
42936,4465463,2677517,1724196,536186,19664,ransom
69722,8953187,5530673,3559519,1100781,4416,ransom
98826,6286681,3778093,2426659,774021,85809,ransom
245307,40374523,25703085,16531713,5089511,51235,ransom
128363,20802776,13248423,8520944,2624392,102005,ransom
155421,23241891,14622479,9407154,2900228,12013,ransom
211944,34261438,21806366,14024992,4320544,18602,ransom
80947,8431697,5206962,3349642,1045848,88141,ransom
