c2,c0,729,129,229,ff9a,type
98812352,1009303727,537041788,406252573,89241673,1967022,ransom
99293536,1014266945,539669859,408244835,89675180,2033160,ransom
100273762,1024413272,544974494,412267901,90543952,2068416,ransom
99016738,1011455865,538140766,407089495,89423216,1985583,ransom
99649947,1016383445,540539117,408900126,89859615,1900979,ransom
99743447,1015241414,539619396,408045258,89895563,1997961,ransom
90425847,917444938,487541950,368526769,81410253,1645126,ransom
88140133,891160948,473605739,357999328,79123694,1919340,ransom
84513727,862167272,459146161,347307959,76342136,2033870,ransom
81107697,883691148,470560406,355957228,78202649,1824772,ransom
89634716,911441575,484884410,366599675,85787302,2240343,ransom
101758662,1039598342,553058884,418391334,91880954,2096213,ransom
99998243,1021556988,543574870,411220261,90304686,2071370,ransom
99112179,1012424055,538769064,407577060,89515442,2119782,ransom
98241759,1002639736,533535425,403508627,88736510,2055570,ransom
103569562,1059435763,563284353,426007496,93570699,2027926,ransom
99060921,1011798453,538423378,435132457,89470222,1891128,ransom
107806940,1101349226,586004723,443309190,90665521,1900587,ransom
106773779,1090696357,540150141,408617929,89744919,1909117,ransom
100741768,1027209275,546309244,413246806,90823895,1934666,ransom
98418337,1005302343,535012744,404720503,88897424,1884159,ransom
94140151,1028508805,511583179,388572553,90898924,1842399,ransom
96803136,1055628360,559590880,397998318,87420347,1870873,ransom
102109408,1043159411,554867310,419751536,92181262,1889652,ransom
103238221,1054532355,561112789,424464505,93239512,1848845,ransom
103487746,1057188394,562513712,425536042,93453331,1965930,ransom
101838570,1040358068,553590325,418783416,91974548,1830681,ransom
102363755,1045594395,556266669,420795883,92431251,1876360,ransom
100210325,1023601566,544545963,411930414,90484215,2009747,ransom
97012328,990923596,527228085,398831163,87612715,1874282,ransom
98174449,1002940806,533541499,403619883,88646195,2155952,ransom
100911069,1030663518,548382632,414821920,91139909,1960736,ransom
102769572,1049683633,558481902,422460884,92812768,1740765,ransom
103409493,1057370471,562103721,425041469,93402669,1736118,ransom
93611651,956188190,508835385,384926388,84548111,2104426,ransom
97266575,978469934,519296276,392065376,87460435,2098502,ransom
98613009,1007177888,535918729,405396665,89071403,1981474,ransom
102377976,1045778806,556376834,420876717,97838501,2096493,ransom
101623688,1038110259,552316762,417818623,91764430,1919160,ransom
101286391,1034684291,550510971,416454889,91464154,1938592,ransom
97808571,999104427,531535178,402099311,88313167,2021916,ransom
99857174,1019995283,542799374,410615133,90194785,2016527,ransom
91511282,934767687,497783954,376563597,82703135,1610332,ransom
90400211,923480647,491363686,371712004,81637965,2063247,ransom
97407958,994681891,529223416,400334760,87957410,1977001,ransom
100731900,1028991611,547515096,414186097,90967700,1937695,ransom
103264435,1054838940,561251201,424576608,93252211,1776493,ransom
103511832,1057333287,562588308,425585363,93477132,1849581,ransom
104622880,1068809460,568667837,403239486,94481174,1915829,ransom
87091379,956560998,508078058,358417350,84420000,1977391,ransom
97607251,997086874,530449071,401272607,88138745,2010951,ransom
98231557,1004561674,534034059,381786471,88724118,1998629,ransom
105003306,1127554791,635510744,431750969,94815251,1896318,ransom
97070859,991657794,527728068,399223983,87674029,1910191,ransom
85572907,874070059,465714979,352299661,77383980,1395032,ransom
35189979,359255552,191959380,145196780,31906986,993829,ransom
49218607,502755756,268397020,203041786,44583775,1048563,ransom
52543633,536679917,286393767,216656121,47579271,1240255,ransom
64042191,654231803,349304808,264249820,58017892,1042787,ransom
50283659,513638712,274520189,207672861,45595380,863409,ransom
50937823,520221286,277405103,209848138,46090395,1148059,ransom
