c2,c0,729,129,229,ff9a,type
9374371,92335182,27526593,17569638,9317361,444041,ransom
9997618,105101819,30215418,19458645,10078046,591642,ransom
12423619,102009099,30510190,19514562,10283189,373426,ransom
6960449,75170491,21066206,13638679,6975201,543830,ransom
10116518,115955834,31799898,20720491,10396609,459616,ransom
4155861,43375737,12542737,8027632,4233529,4987,ransom
2055214,18676085,5854621,3687280,2025957,133007,ransom
8283762,82091175,24371216,15506141,8300528,388753,ransom
8285630,83969686,24588554,15787762,8236146,474514,ransom
9433933,104590496,29318047,19034418,9647080,753755,ransom
3254770,34876199,9940135,6427389,3291250,363535,ransom
7720156,95792993,25333984,16584453,8227393,448758,ransom
6937750,70033101,20608026,13204365,6933258,371458,ransom
6309001,74767692,20150946,13177264,6547877,415145,ransom
6255533,69256657,19342847,12517955,6401139,478672,ransom
2259327,42722606,9388539,6397733,2846622,692646,ransom
8386128,96329095,26448349,17105423,8778280,498160,ransom
8981709,95749158,27190328,17626463,8956778,471659,ransom
6799701,70648494,20529268,13104530,6964065,349118,ransom
5650086,63237652,17610688,11399873,5828479,413434,ransom
7961877,87524296,24585149,15894421,8149498,485303,ransom
6243140,72218271,19772202,12808575,6545892,599969,ransom
8495231,100987647,27149811,17803710,8771409,479482,ransom
8323437,98581559,26652696,17380376,8711510,459978,ransom
12286183,116505213,35510330,22517547,12149725,377471,ransom
2274027,38402951,8767427,5974849,2647345,457215,ransom
4261786,55911130,14416352,9446087,4685875,355583,ransom
6275935,73012791,19795293,13014730,6356204,658139,ransom
4800413,58418945,15222060,10020838,4906642,512974,ransom
8441693,103245644,27474416,17937551,8970288,677604,ransom
14479698,140728816,42296918,26857909,14449158,479296,ransom
21267572,195774906,60687558,38487519,20739826,335835,ransom
10380344,106926146,31068252,20057630,10303101,554122,ransom
15104350,154428876,45237843,29139841,15063017,745544,ransom
13507596,129682679,39719997,25704495,13200356,534905,ransom
6315764,73904672,20086993,13127430,6531419,609948,ransom
15019009,159293120,45624588,29399708,15201979,607309,ransom
10665729,113992928,32451444,21015656,10703509,500826,ransom
13824752,144039436,41646549,26845585,13863509,566729,ransom
4211641,51279181,13728190,9023907,4419181,432860,ransom
6401532,73811636,20242236,13201552,6610976,590547,ransom
6374184,82742731,21351914,14152964,6770863,465367,ransom
2184267,35216562,8229392,5531247,2555659,595321,ransom
6309491,73807874,20136269,12982936,6730632,421774,ransom
2195120,37008380,8468629,5773448,2551379,300728,ransom
6215692,63362051,18493130,11874550,6195627,427232,ransom
4200203,49960678,13450451,8852056,4313088,477189,ransom
4343078,65551317,15908423,10480675,5144198,613939,ransom
6330840,77912350,20615079,13565499,6621676,442735,ransom
4216538,49792558,13479200,8788124,4405945,503417,ransom
4347540,67788391,16074464,10783203,5006066,612149,ransom
6930802,77810949,21652767,14017576,7164481,522787,ransom
7357754,79157151,22463243,14477326,7485513,537155,ransom
8920053,107301814,28522486,18735320,9200158,592525,ransom
528986,21090626,3439362,2565486,861184,566462,ransom
10442185,128910817,34094602,22296600,11096097,870456,ransom
12620173,147911508,40148404,26245019,13049922,994897,ransom
14838949,169575254,46578499,30202702,15368618,1094183,ransom
14349861,138797358,41586958,26616712,13993433,530488,ransom
613691,32036189,5050412,3942653,1096191,440051,ransom
8281354,84738160,24749876,15822786,8364384,509837,ransom
339424,31023342,4709028,3557650,1140877,454558,ransom
8162380,78659814,23680563,15089921,8033603,399535,ransom
4532174,48837421,13808684,8866515,4650726,472578,ransom
7743884,72102797,21475490,13560593,7464266,574575,ransom
7241892,62060239,19608301,12384897,6777274,525188,ransom
4539927,67232880,16217467,10949722,4978318,386649,ransom
10792627,97498436,29661871,18691641,10378255,375082,ransom
8019588,83542031,24263751,15503351,8207925,755749,ransom
8943544,90344096,26728139,17163425,8961490,517785,ransom
