c2,c0,729,129,229,ff9a,type
176881,2940738,1463248,914520,547764,140919,ransom
176523,2938092,1463283,914571,548080,72835,ransom
263324,4401218,2189200,1368168,820050,133017,ransom
366936,6139910,3052042,1907407,1143357,242231,ransom
1669019,25332483,11933715,7502523,4422076,697319,ransom
2151122,34057542,16214000,10191560,6014954,713566,ransom
2298149,36312035,17484833,10966459,6510472,633309,ransom
2151616,33888629,16206214,10176704,6020695,661556,ransom
1856561,31079016,15370282,9617359,5745691,693869,ransom
2338961,37283806,18766516,11701123,7049184,524875,ransom
2278798,38123868,18954936,11846284,7101562,499361,ransom
1889326,30945292,15195384,9512503,5674671,608276,ransom
2192839,35212850,17043072,10684881,6351592,527817,ransom
2325307,36811867,17654844,11083082,6563020,559208,ransom
1861355,31177356,15405693,9639690,5758898,490162,ransom
2131222,35573232,17701547,11059609,6634539,567990,ransom
2544881,40472624,19530485,12248595,7273344,567049,ransom
2195122,36678013,18219340,11387085,6824677,526289,ransom
1951219,32587787,16099306,10073318,6017981,499522,ransom
2201863,36693726,18321305,11438526,6875639,489881,ransom
2320339,36788750,17631203,11068629,6554534,628552,ransom
2108208,35215276,17493879,10933472,6553036,470166,ransom
1988037,33249294,16471907,10300291,6164476,517860,ransom
2228256,37181692,18498717,11556701,6934328,534408,ransom
2522379,38140811,17654561,11133762,6511714,627313,ransom
2320787,36766945,17630685,11066430,6555961,504897,ransom
1849754,30942028,15313388,9576764,5729710,471925,ransom
2031869,33896041,16870905,10538350,6325621,335812,ransom
809854,11564988,5100755,3236902,1861762,150521,ransom
455437,7610518,3779069,2361947,1415485,219016,ransom
177027,2941678,1460997,913148,546889,118849,ransom
617714,8320435,3473009,2223491,1247021,155912,ransom
372911,6203859,3105810,1937686,1166826,170993,ransom
351916,5872146,2917102,1823177,1092575,120334,ransom
292750,4741791,2367855,1477257,888303,217057,ransom
2646395,15362864,7849932,5055493,2732757,150474,ransom
520251,6835708,2864462,1830382,1031011,113724,ransom
185673,2986373,1491417,930368,559550,119262,ransom
492331,5878184,2308650,1485646,818586,321790,ransom
