c2,c0,729,129,229,ff9a,type
11938501,62600995,30024677,19450995,9586131,11003,ransom
11941820,62618698,30031695,19455445,9588249,9993,ransom
11979391,62815856,30137333,19522893,9623261,10570,ransom
12030699,63089645,30246362,19587358,9665715,22443,ransom
11911980,62455715,29968981,19411796,9571113,9602,ransom
11954085,62682126,30063829,19475529,9598699,9705,ransom
11959452,62710775,30071975,19481458,9601466,5246,ransom
11979203,62819524,30178140,19540309,9646665,47398,ransom
12107267,63444823,30588357,19802127,9789414,11685,ransom
12008801,62883227,30161411,19540614,9630829,9507,ransom
11958021,62703782,30072939,19481737,9601511,8744,ransom
11953943,62681805,30068548,19478669,9600014,11874,ransom
12027717,63076286,30185105,19548165,9641864,29719,ransom
11946783,62644989,30044435,19463434,9592292,13452,ransom
11928415,62548079,30002214,19435741,9579155,10207,ransom
11950798,62664919,30061155,19471735,9601028,10060,ransom
11937697,62597146,30024434,19450568,9586248,5324,ransom
11983474,62836725,30145136,19528749,9625040,9674,ransom
11967280,62752301,30101129,19500319,9610500,9963,ransom
11985417,62847951,30149684,19531137,9626824,8991,ransom
11972953,62782083,30110040,19505871,9613537,8517,ransom
11971772,62774572,30115124,19507400,9616449,11598,ransom
12030838,63070652,30260541,19602058,9663382,11086,ransom
11976150,62798450,30120598,19512932,9617038,14435,ransom
11950154,62662121,30054667,19469956,9595709,9966,ransom
11940707,62611111,30036454,19458129,9590398,11716,ransom
11922013,62514517,29991803,19429356,9575635,7795,ransom
12003361,62941156,30188632,19556600,9638537,8880,ransom
11991369,62878642,30160230,19538605,9629071,8505,ransom
11953893,62681521,30065134,19476496,9598896,10291,ransom
11975273,62794056,30124444,19515419,9617720,10091,ransom
11967948,62749245,30105074,19502818,9611688,13706,ransom
11951412,62618242,30039642,19459989,9592492,10960,ransom
11905831,62429563,29945924,19399418,9560742,14436,ransom
11903255,62416593,29936791,19393752,9557327,9004,ransom
11932769,62569959,30020624,19447810,9584505,7334,ransom
11978998,62813633,30129823,19518320,9619143,8013,ransom
11955679,62690942,30073228,19481739,9601085,8879,ransom
11954636,62685879,30065727,19477148,9598997,9785,ransom
11950508,62663574,30065989,19476021,9600203,5429,ransom
11966455,62749474,30102403,19500420,9610284,10280,ransom
11991273,62875701,30167135,19542759,9631529,8745,ransom
11935640,62584987,30025550,19450519,9586796,10261,ransom
11959723,62712461,30084638,19489218,9605673,14740,ransom
11942597,62622134,30041678,19461331,9591503,6467,ransom
11926569,62537610,29997833,19432982,9577641,11158,ransom
11974054,62787708,30118283,19511373,9615942,15315,ransom
12040511,63026950,30228871,19586852,9651306,92053,ransom
14686120,76110803,36467880,23533215,11844381,11224,ransom
11937859,62597433,30020745,19446805,9586121,8623,ransom
12000383,62934208,30212732,19564030,9655411,8602,ransom
11879454,62291938,29879668,19356392,9539857,9516,ransom
11873807,62261936,29874984,19352778,9539180,13008,ransom
11848796,62130162,29803308,19306915,9515365,12292,ransom
11895135,62373330,29924507,19384650,9555004,9663,ransom
11955485,62686313,30072337,19482286,9600629,8511,ransom
11911654,62458961,29965789,19412843,9567997,12473,ransom
11931598,62565489,30006748,19438729,9580424,17597,ransom
12241793,63952516,30531518,19800587,9740108,5793,ransom
11981172,62808953,30131168,19518784,9621493,9127,ransom
11897422,62385760,29923239,19384590,9553740,9128,ransom
11915966,62483025,29966799,19413332,9567969,8850,ransom
11925577,62533667,30001557,19434901,9579925,9394,ransom
11977935,62820761,30114670,19503179,9622473,15100,ransom
11915296,62479268,29966050,19412603,9567624,10474,ransom
11873461,62256877,29869582,19350135,9536961,10859,ransom
11914932,62478005,29967554,19413892,9567535,11448,ransom
11922854,62524522,30039842,19450752,9602229,21351,ransom
11996483,62864438,30285826,19609395,9688973,8022,ransom
11955698,62691040,30070171,19480246,9600763,7813,ransom
11916711,62485474,29984246,19424734,9573811,13694,ransom
11918107,62494167,29974045,19418163,9570010,10180,ransom
11925940,62532252,29999573,19432916,9579895,8385,ransom
11918270,62494986,29976943,19419953,9570557,14946,ransom
11899029,62394678,29928143,19388008,9555543,9601,ransom
11900410,62399791,29931334,19390208,9556701,9623,ransom
11932843,62571389,30010513,19442006,9581678,5107,ransom
11933187,62574733,30023192,19448658,9587178,9186,ransom
11950367,62663751,30057540,19472041,9596447,8222,ransom
11915523,62480897,29965152,19412769,9567218,9642,ransom
11980753,62802276,30197421,19551783,9656695,36619,ransom
11967852,62741745,30230977,19563965,9678098,5698,ransom
12132379,63541707,30611245,19861804,9753419,133730,ransom
13113204,68203452,33224362,21656325,10542724,13547,ransom
11830728,62033908,29755780,19276356,9500551,17176,ransom
11824907,62004935,29751730,19273612,9498821,6236,ransom
11856609,62169409,29822598,19320367,9521408,17489,ransom
11889475,62344208,29906254,19374614,9547946,13368,ransom
11846633,62119863,29804301,19308311,9515696,9045,ransom
11857684,62176794,29821285,19318948,9521222,10627,ransom
11888413,62338444,29897374,19368004,9545565,5775,ransom
11922201,62516168,29987765,19427357,9574006,9170,ransom
11950096,62661761,30063560,19475280,9599771,13719,ransom
11869871,62241266,29861678,19345177,9533686,14147,ransom
11878195,62284775,29876356,19354558,9538245,8884,ransom
11872123,62252507,29868331,19349658,9535787,9820,ransom
11887343,62332533,29903188,19372228,9547099,9806,ransom
11871209,62242327,29864635,19346177,9535345,10045,ransom
11855800,62167890,29816326,19316369,9519007,8236,ransom
11869060,62237271,29859257,19343972,9532545,6897,ransom
11894331,62369202,29920166,19383260,9552197,9173,ransom
11912918,62466805,29966704,19413411,9566934,8736,ransom
11907133,62436986,29951773,19403247,9563183,9932,ransom
11883530,62310255,29894853,19366511,9544383,18030,ransom
11900380,62394933,29948111,19398954,9563898,5699,ransom
