c2,c0,729,129,229,ff9a,type
2461005,141027523,34190654,23543927,10624700,1822757,ransom
2525190,66963943,17924580,12196859,5657671,2108917,ransom
2876624,14187453,6069242,3976716,2022529,2075395,ransom
9357247,51037846,23431829,15419533,7800454,1641144,ransom
1975583,10010754,5445918,3577635,1818307,1593224,ransom
2296123,11045485,5714406,3886245,1765288,843484,ransom
3143524,28726183,10966714,5286525,5633270,1056204,ransom
1477036,94677704,22880086,15806850,7051036,1583629,ransom
1713268,132847807,31497246,21824324,9658844,1960185,ransom
304778,1888015,1115031,703545,399446,1450902,ransom
2942700,15543533,7890958,3856344,3984110,2092722,ransom
11228858,59896694,28243487,18741634,9255003,1658258,ransom
5361427,26147819,13447462,9251390,4088014,1117083,ransom
4989524,111020287,32047149,20626515,11325585,1833236,ransom
1096248,83984784,19953670,13815595,6128066,1879364,ransom
7969857,42771531,17274258,10132001,6896691,1625080,ransom
10080421,51428645,24358748,15864443,8183723,1222101,ransom
2749653,57691618,16264915,10064594,6153770,1852085,ransom
1860514,76095692,18951125,13100996,5811767,1407091,ransom
5067393,26032153,13385257,7170951,6100144,1720080,ransom
588619,2779944,1406829,954196,429853,1181080,ransom
4069392,89393118,25299647,16007365,9216772,1755430,ransom
944414,62991502,15198677,10514074,4664114,1105393,ransom
5077550,27746208,12106070,5697016,6299716,1351476,ransom
11589481,61284541,27272773,17568472,9129083,1756641,ransom
2896065,13568933,6003689,4232054,1701557,1962457,ransom
1901861,12092002,5687400,3678004,1948180,801030,ransom
3890111,95191876,26674260,16384545,10243975,1809244,ransom
1882867,151072975,35647534,24694070,10945022,1980558,ransom
246746,11305759,2877817,2001850,862287,2004002,ransom
921023,6339763,3412661,634842,2763562,1189214,ransom
5744808,27949223,14136510,9032697,4984404,1663628,ransom
310400,1522120,892292,590087,282393,1258183,ransom
1982068,40672314,12369224,6737595,5588906,1431367,ransom
1871925,149667992,35378339,24508561,10860362,1947711,ransom
658439,17417269,5067137,3426088,1625707,1652846,ransom
4112889,25681267,11184480,5776242,5329953,1538064,ransom
2774433,16962347,7097596,4711942,2299614,1925631,ransom
13049606,67985385,28116574,17840949,9868255,1735310,ransom
3097711,15461311,8282428,5530515,2677058,1070942,ransom
4292425,52141844,17850292,9781535,8006685,1444721,ransom
2394805,148817725,35860020,24787010,11046833,1823571,ransom
1136249,82318815,19644481,13580565,6049016,1715342,ransom
1289075,6780413,3572027,2315080,1227150,1863395,ransom
3617699,22193720,8898399,5573568,3253141,1525218,ransom
3593927,17462296,8736921,5335883,3334315,1358380,ransom
5463451,112131996,33008274,21833339,11065018,1778469,ransom
1135379,7458265,4052556,987020,3048173,1222829,ransom
6171785,30183670,14855452,9624323,5123615,1709337,ransom
3518419,17491745,9166090,6184179,2899917,1315314,ransom
4887391,60698775,20380832,12076553,8227015,1368749,ransom
3353225,153927313,38747420,26664399,12041699,2089499,ransom
4294173,42678319,14230868,10115182,4013561,2143182,ransom
305860,1918664,1147443,385567,747985,1786702,ransom
11823123,103350808,34151826,21704116,12104511,1895124,ransom
1346677,45445929,12337636,7937085,4366213,1636948,ransom
4385048,22033423,11010355,6210955,4722891,1945154,ransom
1815971,76070998,19659100,12853671,6770533,2033259,ransom
15937852,97452604,38994217,24864059,13655483,1918129,ransom
6667675,40637819,16286064,10079212,6105855,2160882,ransom
8356783,89432386,31340662,20523370,10611580,2069667,ransom
13621761,105806999,37200779,24239080,12564554,1820530,ransom
2419888,13158063,6627816,3664380,2902770,1886923,ransom
6739145,105913168,32155211,20896516,11142656,1860607,ransom
2277944,20707696,8446781,5121345,3266449,1944627,ransom
5532570,46466543,12402884,7807080,4522873,1746532,ransom
4728713,39204243,15394647,9605844,5673383,2316259,ransom
5479611,91464173,27309542,18793128,8385605,2083170,ransom
4256342,21469595,11376620,7050496,4222728,2082936,ransom
11883359,130000559,40312996,25913093,14139263,2100565,ransom
3809276,25532570,10497762,6696523,3680445,1933200,ransom
7916708,83448696,30369032,19758086,10434553,1453353,ransom
3979748,42245263,14111662,8694972,5287653,2174217,ransom
37958260,204766427,93148440,61868974,29335990,2417334,ransom
58321143,381918315,147002188,105657710,32379181,3072434,ransom
40772988,264032317,98121908,69402958,28589054,2384308,ransom
47084723,292483308,152000275,98957808,46332377,2222975,ransom
10839445,54675756,13462636,8244580,5070066,1822595,ransom
6124575,83384176,26658836,17520654,9009073,1816310,ransom
7056519,58612762,21520840,13494928,7894573,2011928,ransom
9611001,74819733,26785339,16564624,9917096,1751144,ransom
7811864,38487872,19541149,11810611,7578362,1974717,ransom
7990748,115145447,34738938,23294705,11274801,2246868,ransom
13037885,71877813,30158006,19211946,10506491,1753913,ransom
6415605,54141947,19998057,12398411,7505402,1970677,ransom
2215567,68455876,18607453,12642278,5901140,1811076,ransom
6373445,40150294,17938672,10912343,6908371,2008469,ransom
3723328,62720722,18176989,11672745,6391937,1951184,ransom
13284195,77725333,31115806,19445792,11278916,1503337,ransom
6441462,89170375,28296468,19034757,9142619,1877653,ransom
2062786,19726101,8186436,4768481,3349665,2205938,ransom
17560718,119528301,43953335,28335996,15125193,1920094,ransom
4536842,58366966,18510991,11703470,6729247,1901244,ransom
4637061,63875470,20742046,13728486,6917299,1274178,ransom
5356626,26756397,13201135,7707511,5412611,1448626,ransom
3514785,81710551,22647471,14718695,7864989,2071833,ransom
13450600,90242888,33858069,21329676,12114302,2295242,ransom
1030591,5559360,2969724,1508029,1428797,2438322,ransom
8199658,105828886,33974790,22417172,11420864,1855518,ransom
14029202,91259015,34249941,21439243,12448177,2503217,ransom
6462801,76639785,24922640,16328424,8420102,1675382,ransom
7403867,40956885,18442323,11312325,6986475,1654955,ransom
4497133,92749151,26176719,17066908,9017247,1991020,ransom
12078079,63616622,26326626,16642108,9316519,1677475,ransom
5494316,70822107,23267845,14602167,8589305,2241855,ransom
3258751,59566688,17296266,11370870,5841923,2159883,ransom
