c2,c0,729,129,229,ff9a,type
1155538,65253929,25891618,22055064,3801227,152161,ransom
1150270,65045233,25806778,21984359,3787581,153684,ransom
1155888,65199416,25870328,22036397,3798816,159568,ransom
1202213,65279412,25906456,22037517,3831293,154346,ransom
1692764,67751598,27157157,22899928,4204726,202502,ransom
2976417,72808886,29135708,24250555,4821472,548610,ransom
1153237,65215954,25873708,22041612,3797194,155696,ransom
1244806,65600034,26151105,22212799,3899955,203779,ransom
1214889,65539600,26133885,22192453,3902739,158438,ransom
1151069,65090878,25824242,21999429,3789976,155081,ransom
1156795,65219400,25882461,22045422,3801418,159524,ransom
1154118,65202017,25871348,22038989,3797276,153213,ransom
1149941,65026031,25798779,21977719,3786258,154020,ransom
1157167,65194653,25878171,22041010,3801788,157824,ransom
1152873,65107741,25835744,22007491,3793261,153766,ransom
1148317,64936186,25763194,21947231,3781213,150723,ransom
1150688,65064314,25814226,21990564,3788823,154758,ransom
1153645,65242391,25884776,22050950,3798912,150751,ransom
1154119,65217856,25876689,22042861,3798823,154190,ransom
1163967,65398462,25953278,22105197,3812754,157129,ransom
1151198,65010721,25794599,21972696,3786729,156342,ransom
1153415,65219324,25875110,22042621,3797565,151860,ransom
1150793,65082211,25821103,21996734,3789532,152048,ransom
1151865,65134046,25841815,22014115,3792811,155833,ransom
1154153,65183446,25865463,22032853,3797614,159049,ransom
1161828,65281462,25914470,22067952,3810829,154049,ransom
1151756,65133515,25841079,22013770,3792471,152198,ransom
1158168,65321774,25919281,22078003,3806067,159316,ransom
1152443,65155804,25850034,22021161,3793980,139236,ransom
1167693,65941466,26166643,22289039,3842290,128909,ransom
1167567,65903869,26150644,22275093,3839776,131284,ransom
1166891,65949315,26166576,22290231,3840893,126285,ransom
1163876,65817621,26112524,22244966,3832326,127017,ransom
1216070,66010033,26164884,22267732,3858154,137986,ransom
1168761,66006075,26191410,22310509,3845439,125260,ransom
1164939,65875476,26135796,22264681,3835844,126985,ransom
1164925,65876600,26135748,22264808,3835690,125605,ransom
2569285,72818517,29871246,24690099,5103624,235345,ransom
2192072,70808294,28356549,23674410,4616564,127550,ransom
1184342,65982508,26211530,22309522,3864970,132177,ransom
1185157,65755171,26125356,22228767,3859274,135535,ransom
1161616,65603493,26030950,22173592,3821967,133710,ransom
1167143,66000477,26185377,22306942,3843110,127560,ransom
1172997,65979698,26187654,22303443,3847969,130106,ransom
1166664,65890801,26145855,22271787,3838667,132864,ransom
1174391,65988963,26194727,22306867,3851816,128351,ransom
1167930,65920640,26161434,22283338,3842644,130379,ransom
1167049,65993515,26182240,22304441,3842497,124052,ransom
1166315,65952574,26165928,22290565,3840069,126811,ransom
1164247,65841363,26122033,22253073,3833726,129630,ransom
1168933,66016461,26192904,22312148,3845095,124912,ransom
1165008,65878205,26136840,22265571,3836000,128425,ransom
1167476,65837852,26123953,22252306,3836170,131293,ransom
1166087,65941546,26161786,22286998,3839492,126469,ransom
1168623,65789608,26115725,22242475,3837477,127975,ransom
1162742,65756761,26088706,22224640,3828865,118423,ransom
1166052,65934905,26159133,22284646,3839193,121660,ransom
1166236,65799615,26109777,22240859,3833684,131673,ransom
1472298,67271927,26659198,22638219,3983606,118751,ransom
1164365,65842737,26122822,22253586,3833990,125188,ransom
9816051,95516546,38994692,28809518,9861836,1231127,ransom
3124680,16387843,7678163,4895973,2618648,1180888,ransom
1059470,5437087,3048640,1926326,1060323,1221321,ransom
2785512,14594365,5725231,3863535,1520325,1139013,ransom
765340,4036416,2146839,1376320,743414,233895,ransom
9171388,78511768,34023535,24316109,9517755,589066,ransom
11204351,117532615,48597790,36848268,11327881,160164,ransom
7448476,89410543,38822922,29821985,8855790,324790,ransom
3246190,67041415,28306240,22842744,5344509,150097,ransom
16180147,132613815,55303702,40068373,14764586,375144,ransom
1887613,64749766,26556577,21995406,4498037,273814,ransom
10516991,109110655,46500011,35323561,10683893,607541,ransom
6087643,88872914,37546530,29447826,7990179,289462,ransom
4055022,78447738,32538151,26612450,5817179,463529,ransom
16324659,142586029,58336789,42922582,14913334,512033,ransom
1817514,68102278,27573624,23124319,4385727,169700,ransom
3834230,77661261,31364225,25770225,5464474,563217,ransom
1660925,67880640,27174330,22920707,4202112,171335,ransom
1248022,65475655,26060767,22141304,3878546,215859,ransom
3031934,73501197,29421353,24482264,4874468,382666,ransom
1153874,65054410,25819303,21989018,3794825,155057,ransom
1128110,62982482,25013039,21292646,3684755,560365,ransom
5605160,53930496,24717752,17925060,6665845,409588,ransom
4764907,80223690,34152960,27507833,6525717,120372,ransom
15332147,137405342,56003476,41276499,14269313,619194,ransom
7215337,90171700,38024397,29539541,8040354,910616,ransom
9773033,92318793,39885224,29807810,9908180,350904,ransom
9570480,96670412,39241016,29193476,9751059,639269,ransom
9238522,99678863,40602136,31161518,8902614,371710,ransom
7192608,93243318,39638855,30732761,8758196,315916,ransom
3504386,76081630,31924673,25969949,5857033,518853,ransom
3461586,74872718,29771182,24727520,4903768,141909,ransom
1717169,66889603,26839434,22589483,4194895,150670,ransom
3269814,72435324,28972577,23953146,4889590,481198,ransom
4234086,60578204,25867686,19915878,5864740,499582,ransom
3787521,65957959,26255006,20996733,5137862,603277,ransom
11670271,97584829,39755862,28917158,10498351,449906,ransom
4657417,81888056,34023958,27026043,6913590,272120,ransom
3544662,69907022,28423072,23137411,5140209,592924,ransom
15378488,135682334,55452472,40453512,14521567,503656,ransom
1788707,61625899,25500305,21035645,4381413,523868,ransom
51436118,318943601,137411033,97952650,36775254,1454127,ransom
69018334,429735169,172499369,126478360,42579707,948226,ransom
39754727,268271545,139708741,95866713,41968405,1496028,ransom
20792891,162484980,80388766,56968259,22626192,601189,ransom
1486248,61219592,24805423,20756151,3994929,317626,ransom
6671351,86889042,36263254,28272142,7821951,509157,ransom
7053473,90161622,37191628,28657601,8343287,717793,ransom
8096413,93268262,39385122,28852630,10367596,184519,ransom
7418952,94477396,39822492,30775989,8867899,652087,ransom
1603079,60949976,24783195,20654577,4072182,489994,ransom
14414145,134737821,54553601,40160745,13925137,517075,ransom
5570367,84853935,34602037,27541294,6923518,346838,ransom
1588509,67615352,27283591,22886181,4339750,155804,ransom
3792570,77173078,31088635,25537783,5404291,536079,ransom
1170467,65116918,25870301,22016752,3816573,155271,ransom
1186690,65270821,25951742,22070586,3842943,190689,ransom
2872721,63593263,25519603,21142652,4313568,620543,ransom
4652301,68008001,28774078,22323868,6359655,446175,ransom
13856704,127543498,53064015,38978947,13601870,449383,ransom
5365368,85429710,35887748,28386291,7403224,256891,ransom
6981783,90098532,39897948,31021642,8692784,454115,ransom
16080363,138065059,55001474,40363516,13878736,671790,ransom
4875433,73732490,31982048,25241751,6600275,157942,ransom
7826701,91195776,39786596,30377804,9258798,771648,ransom
7795333,94630435,38950229,30100254,8383478,393758,ransom
16654696,141971423,61472757,45153756,15760340,230074,ransom
11912134,109741010,51665265,38982918,12272975,869719,ransom
3942428,76436397,32377735,26180782,6087248,161668,ransom
8124173,75470566,33597141,25119446,8332354,450327,ransom
6964951,85392926,34836090,27169364,7454018,576545,ransom
11277257,96122342,39432734,28901615,10184735,95513,ransom
2280321,68834432,28274826,23344743,4851004,522046,ransom
2974276,73871301,29203155,24453661,4632734,137544,ransom
1748097,68654850,27522890,23175944,4291693,157567,ransom
3360371,76040127,30423766,25194143,5099334,365015,ransom
1172671,66144001,26249564,22358088,3855884,127503,ransom
1165516,65896888,26148269,22273772,3839199,124796,ransom
1165783,65907063,26151116,22276760,3839080,287402,ransom
4332359,46053209,20655952,15176050,5380802,598363,ransom
4581225,83286390,33776048,27070862,6606075,380707,ransom
10145959,112545766,44708778,33884532,10456923,433407,ransom
7407169,97086313,39931590,30951117,8570468,484745,ransom
1316815,66203174,26445724,22410113,3988434,134939,ransom
2036641,69769045,28308378,23586485,4661006,542408,ransom
3692109,77973412,30427239,25066206,4946578,135548,ransom
882394,49175743,19532256,16624376,2880193,102979,ransom
2779290,59321426,23785051,19681934,4046153,401341,ransom
1146408,64828097,25724866,21912757,3777156,127522,ransom
1091088,61625125,24458939,20831792,3593745,124489,ransom
1151684,65020836,25804493,21978661,3790350,127484,ransom
1153017,65024622,25811439,21983607,3792465,390848,ransom
13549397,106418800,44061889,31233639,12403130,653125,ransom
5186580,81020804,34590372,27780402,6687313,128961,ransom
6756599,87683063,37553968,29095245,8332159,211709,ransom
6171242,85441550,37598178,29407573,8026558,796707,ransom
12214381,116785804,51280150,38694645,12048541,195442,ransom
17648009,145944331,65646712,48195297,16836773,569191,ransom
8846860,102203790,43908666,34332836,9323834,502682,ransom
9099088,91188162,39490612,29296797,9743514,297658,ransom
5223777,85277853,36286247,28975515,7142105,709871,ransom
18178304,143196783,59149626,43090813,15532515,351870,ransom
6310425,91153486,38833892,30311807,8388889,215288,ransom
6255155,86498857,37730144,29839651,7749415,490805,ransom
16574676,139935975,57195882,42023734,14657291,462330,ransom
4098255,58271941,25521352,20070848,5337401,342854,ransom
10613841,102711330,44710083,34000659,10498957,439324,ransom
10199899,103467440,42735498,31875731,10564869,393742,ransom
9508198,101527443,43625594,33575281,9747816,471089,ransom
9945968,99169630,43170715,32818454,10070671,357655,ransom
4526322,76044819,32318842,26036342,6164598,257926,ransom
11743269,107824892,48304392,36161248,11896309,514832,ransom
12583086,115595916,46906645,34867983,11609789,426222,ransom
6677860,82596249,35633754,27442847,8029394,314013,ransom
9745145,104177208,44970637,34405859,10350081,480748,ransom
8563080,90554341,38165766,28796868,9158748,360596,ransom
12278700,120473556,50276346,37870522,12022045,527655,ransom
8621052,97321196,41197081,31828164,9177769,288611,ransom
5237666,98728501,41544335,33756507,7655351,159441,ransom
4203113,72793241,29757054,24244164,5393712,494583,ransom
825372,43652157,17392552,14765874,2598172,84236,ransom
1520118,57567498,23079585,19424298,3608448,267219,ransom
4655223,82327737,33665159,27335160,6198288,604297,ransom
11472514,98475959,39587518,28566917,10642161,390040,ransom
7626446,97834627,42142677,32699196,9295100,237830,ransom
5220730,69494869,29671754,22971192,6605351,183521,ransom
6282087,83953628,36477899,28791937,7530015,272025,ransom
15328516,134811111,54153772,39916477,13529421,832269,ransom
12929221,127878797,61345154,46581815,14321526,208911,ransom
8670132,95451093,41883711,31952257,9765080,469775,ransom
8559383,102177895,42083658,32815773,8700567,689085,ransom
14941169,131383618,54777764,40290060,14072967,186148,ransom
8330103,100234466,42508938,32896485,9407816,649324,ransom
4726247,76959873,33023354,26457495,6436087,170720,ransom
15963816,138687120,57445657,42102556,14890884,449474,ransom
6247460,85777500,36544203,28959945,7370132,662678,ransom
8879780,100670727,43911458,33772144,9970894,124081,ransom
5727197,83771142,35689001,27807912,7771426,539519,ransom
7376673,95324038,40429407,32123316,8081614,155845,ransom
14722349,131001433,53739887,39479610,13830592,426973,ransom
6608839,91452332,38905470,30972581,7755797,664585,ransom
8658413,101932638,44098605,34038310,9860446,136522,ransom
5192745,85303158,36315352,29057262,7128466,307040,ransom
6209885,89665568,37654472,30181525,7285313,366211,ransom
1739567,68510482,27460736,23131675,4273703,139664,ransom
1981768,70222638,28586900,23868631,4660993,450312,ransom
3738057,77587226,31013157,25690630,5178629,120645,ransom
1166534,65851724,26132090,22257944,3838574,145162,ransom
3725115,77373829,31386915,25931876,5374753,333268,ransom
1163852,65815682,26114434,22245199,3833963,120949,ransom
