c2,c0,729,129,229,ff9a,type
26924,153366,107897,59487,46057,3356,ransom
98,491,309,187,103,1928,ransom
766,3532,3280,2146,1094,5086,ransom
1143,5249,3955,2371,1464,3473,ransom
0,0,0,0,0,2071,ransom
0,0,0,0,0,2253,ransom
3231,13559,8095,4696,3193,3779,ransom
0,0,0,0,0,3296,ransom
4756,22361,17557,10951,5812,7973,ransom
332,1539,1255,827,378,4809,ransom
93,477,289,170,100,8819,ransom
24172,139682,87091,55154,22878,2984,ransom
5886,28581,22296,12737,9074,4087,ransom
1667,7769,6585,4127,2330,5152,ransom
0,0,0,0,0,4619,ransom
0,0,0,0,0,2227,ransom
0,0,0,0,0,1901,ransom
0,0,0,0,0,4969,ransom
5901,28144,20057,13568,5571,5882,ransom
259,1217,895,596,266,2539,ransom
96,974,320,197,104,3431,ransom
98,491,284,166,99,3108,ransom
6567,62649,45686,27364,17512,5151,ransom
901,4237,3175,1881,1206,2296,ransom
19,59,49,29,16,2033,ransom
0,0,0,0,0,2493,ransom
4295,22066,16975,9599,6899,4155,ransom
0,0,0,0,0,17011,ransom
1420,7235,3987,2291,1420,10224,ransom
408579,1800365,688056,481176,201878,3015,ransom
160,742,474,284,164,5395,ransom
3329,14050,8350,4825,3301,3607,ransom
6652,32113,25736,14945,10246,5613,ransom
46450,242624,107506,63851,41549,5045,ransom
3102,17288,11538,6520,4691,3369,ransom
0,0,0,0,0,2600,ransom
0,0,0,0,0,1901,ransom
0,0,0,0,0,2878,ransom
63427,305964,225466,133376,88141,21652,ransom
253494,1174781,722869,453234,257572,5888,ransom
96,487,295,176,100,3337,ransom
98,491,284,166,99,1897,ransom
766,3532,3262,2126,1095,3766,ransom
901,4237,3332,2058,1184,1886,ransom
0,0,0,0,0,2063,ransom
0,0,0,0,0,2116,ransom
0,0,0,0,0,2119,ransom
0,0,0,0,0,3288,ransom
1424,7250,4409,2536,1573,7555,ransom
93,477,264,149,96,3003,ransom
93,477,289,170,100,5951,ransom
98,491,284,166,99,1929,ransom
125182,610964,459277,278183,173475,30659,ransom
134399,647889,443702,269143,166954,4079,ransom
2699,15027,10469,5940,4359,3601,ransom
1433167,6471121,3691192,2552947,1081205,194288,ransom
7648178,36553988,16944466,11887924,4882268,69928,ransom
127749,751831,486836,287645,190943,10320,ransom
19347,103252,73071,42793,28419,10181,ransom
5172,28786,19770,11806,6885,7439,ransom
25687,147417,99196,54129,43122,5264,ransom
99,495,288,167,102,2482,ransom
0,0,0,0,0,3462,ransom
6027,28080,21985,14752,6496,5735,ransom
163,729,590,453,126,2467,ransom
5402,24774,20054,14304,4971,4613,ransom
147,656,735,567,956,2868,ransom
11211,52578,37631,22122,14514,7369,ransom
1430,7279,4282,2430,1563,6006,ransom
94,481,268,150,99,2103,ransom
188,483,275,161,95,5059,ransom
99,497,270,157,94,1938,ransom
6653,32128,25509,15008,9968,5215,ransom
14465,4237,3374,2078,1206,8354,ransom
13564,0,0,0,0,3723,ransom
0,0,0,0,0,2849,ransom
0,0,0,0,0,2176,ransom
5032,23055,18586,13200,4676,6384,ransom
1574,7913,4933,2984,1652,6442,ransom
96,487,295,176,100,2493,ransom
96,487,320,197,104,3225,ransom
3329,14050,8359,4838,3298,4219,ransom
766,3532,3285,2154,1090,5953,ransom
4202,16384,13346,8164,5061,3180,ransom
19,59,49,29,16,2299,ransom
0,0,0,0,0,2049,ransom
0,0,0,0,0,1903,ransom
0,0,0,0,0,2158,ransom
1415,7219,4180,2394,1502,9790,ransom
404269,1780351,673852,473772,195407,2470,ransom
236,685,453,244,182,5749,ransom
1275,5942,4893,2918,1760,1917,ransom
766,3532,3319,2182,1096,4787,ransom
52485,272150,129288,76267,50391,4701,ransom
1181,6663,4180,2455,1508,2719,ransom
53890,214226,96851,62926,32422,6549,ransom
0,0,0,0,0,2739,ransom
0,0,0,0,0,5714,ransom
91695,454433,323877,193055,124812,28061,ransom
252080,1171032,716795,450420,254489,7269,ransom
96,487,295,176,100,3212,ransom
98,491,284,166,99,1937,ransom
1214,5731,4767,3006,1655,5359,ransom
1143,5249,3988,2459,1412,3869,ransom
1219,5880,3496,1912,1457,5087,ransom
487,2386,1509,881,565,3435,ransom
10611,42586,27649,16840,9508,5354,ransom
0,0,0,0,0,6324,ransom
8847,43319,27037,18307,7618,13416,ransom
5249,22378,17482,10697,6122,3595,ransom
93,477,289,170,100,4734,ransom
98,491,284,166,99,2116,ransom
0,0,0,0,0,3620,ransom
7560,36378,28518,16684,11218,4205,ransom
0,0,0,0,0,4101,ransom
0,0,0,0,0,2428,ransom
476225,2365654,1440737,944511,483818,50187,ransom
2449143,11933101,5662626,3636428,1954433,5699,ransom
20972,110810,77220,44816,30351,7481,ransom
3354,17874,12242,7120,4790,6218,ransom
25710,147482,104500,57215,45170,3489,ransom
98,491,284,166,99,4502,ransom
12343,61330,43389,25641,16945,6129,ransom
4743,21851,17248,11414,5263,9067,ransom
80613,409592,98729,68343,26990,5084,ransom
0,0,0,0,0,3023,ransom
0,0,0,0,0,1924,ransom
0,0,0,0,0,2290,ransom
1415,7219,4242,2425,1528,6934,ransom
5041,24153,19420,10983,8058,3375,ransom
160,742,465,275,164,5013,ransom
3329,14050,8324,4812,3290,3568,ransom
766,3532,3304,2186,1077,5595,ransom
13574,69747,56585,34481,21089,4654,ransom
0,0,0,0,0,4317,ransom
0,0,0,0,0,2993,ransom
0,0,0,0,0,1941,ransom
0,0,0,0,0,2232,ransom
2425,11840,7316,4811,2083,9851,ransom
124470,14377,11164,7527,3151,7574,ransom
257,1213,1079,761,282,3357,ransom
98,491,284,166,99,1912,ransom
766,3532,3295,2152,1103,4061,ransom
901,4237,3200,1909,1192,2419,ransom
19,59,49,29,16,2463,ransom
4810,17525,13193,8060,5103,2818,ransom
0,0,0,0,0,2903,ransom
0,0,0,0,0,3009,ransom
1415,7219,4211,2422,1504,11918,ransom
411490,1812872,697335,488144,204264,4560,ransom
93,477,289,170,100,3643,ransom
98,491,284,166,99,1906,ransom
766,3532,3335,2189,1104,6614,ransom
80439,416467,230209,136739,87070,16241,ransom
13834,77594,53882,30802,21455,4806,ransom
0,0,0,0,0,3039,ransom
3988,16750,10799,6243,4200,4610,ransom
263,1036,856,455,356,4604,ransom
63246,304912,203863,122007,77927,19258,ransom
249000,1156422,700816,441077,247922,6341,ransom
97,491,299,177,103,3366,ransom
34116,160250,107626,68819,35427,10800,ransom
766,3534,3296,2153,1102,4334,ransom
897,4227,3324,1979,1248,1900,ransom
0,0,0,0,0,2371,ransom
0,0,0,0,0,2348,ransom
2892,14725,11949,6826,4911,3484,ransom
11214,52602,36991,21743,14291,5782,ransom
49129,256685,82327,50097,28587,20832,ransom
94,481,268,150,99,3346,ransom
94,483,250,140,91,4801,ransom
99,497,270,157,94,2759,ransom
766,3534,3347,2186,1121,4627,ransom
6790,32836,25486,14712,10190,2970,ransom
0,0,0,0,0,3134,ransom
0,0,0,0,0,2015,ransom
459182,2257950,1378052,904676,462830,29369,ransom
2274384,11006602,5462197,3532367,1872384,8586,ransom
19499,103929,74353,43615,28765,9575,ransom
3446,18471,11842,6865,4636,6756,ransom
36068,201730,143868,81828,59017,5014,ransom
3476,14704,9084,5378,3468,3974,ransom
766,3532,3247,2131,1076,5966,ransom
897,4227,3169,1931,1153,2239,ransom
0,0,0,0,0,2550,ransom
0,0,0,0,0,2582,ransom
0,0,0,0,0,1926,ransom
0,0,0,0,0,2201,ransom
